min_mm,max_mm
1.820176139087649e-07,1.0
0.0,1.0
0.0,1.0
0.15383054816143013,0.18110532225853554
0.05286434806006239,0.06146468352212352
0.11381089471186139,0.13390936613277638
0.0,1.0
0.023299977491908475,0.028846825602010153
0.3362031812914988,0.4183049016206457
0.3430063753696347,0.43104948527103626
0.3766442651127316,0.4934155074531756
0.0,1.0
0.0,1.0
0.0,1.0
0.3832151594764862,0.5054922613736923
0.0,1.0
0.0,1.0
0.0,1.0
1.8080881347952422e-07,1.0
2.0615600878306276e-07,1.0
4.6550436411794054e-18,1.0
4.9956453005553106e-136,1.0
9.059968498516373e-08,0.9999999999999999
3.7917181092716356e-07,1.0
0.010215954624882242,0.012993887012481239
0.0017807755862183647,0.002349863676809145
7.14469410721478e-05,0.0001094681530317256
0.0069778052523524585,0.008883201983393136
4.823654014414369e-05,7.392884439770412e-05
0.0012119907062167526,0.0015962787969019208
1.2160815944562821e-05,1.863280290823647e-05
8.210070044002529e-06,1.2583233258491206e-05
0.015159600969809275,0.01915058861771512
0.002560195087046412,0.0033226869192907846
0.17246002606216815,0.20210579772049705
0.15478601551576682,0.18208012722982006
0.36301611324322214,0.46873744350273433
0.08875970577381845,0.1026387570929165
0.10300777022798889,0.12054524262598068
0.2809244176246394,0.3392721974945532
4.873310001789682e-07,0.9936377490560208
5.939640973414721e-07,0.9996405184617638
6.919356939688416e-07,0.9826205728114173
1.625640976383753e-07,1.0
1.2588837549964902e-08,1.0
0.0,1.0
2.3143158824914338e-07,0.99891338357993
5.322307938386558e-07,1.0
0.0025029607040366188,0.0031718097625399455
0.0023264140145210937,0.0029483560150914347
0.02242690877553779,0.027839605519094996
0.42062013889380423,0.5851660497216701
0.5004449845889488,0.7988857606209692
0.41784268949803716,0.5771361405189537
0.020966273473161955,0.026127856202094443
0.4980018549081168,0.7931523021111065
0.0,1.0
1.0562033189178404e-07,1.0
0.0,1.0
0.005007356192547839,0.006410162634317068
5.621482846116584e-05,8.633411146599659e-05
0.0017821281651726984,0.0023564795789453342
0.0,1.0
1.9829380353240483e-05,3.0454235986048855e-05
